Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,531229813,,,,2677656,2677656,SH,,SOLE,,,"(to the nearest dollar): 79,526; ",2677656,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,,,,4351048,4351048,SH,,SOLE,,,"(to the nearest dollar): 129,270; ",4351048,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,OUTBRAIN INC,NOTE 2.950% 7/2,69002RAB9,,,,118000000,118000000,PRN,,SOLE,,,"(to the nearest dollar): 102,550; ",118000000,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,SOUNDHOUND AI INC,CLASS A COM,836100107,,,,1130636,1130636,SH,,SOLE,,,"(to the nearest dollar): 5,554; ",1130636,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,THERAVANCE BIOPHARMA INC,COM,G8807B106,,,,6594126,6594126,SH,,SOLE,,,"(to the nearest dollar): 59,149; ",6594126,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,VIASAT INC,COM,92552V100,,,,15030838,15030838,SH,,SOLE,,,"(to the nearest dollar): 271,908; ",15030838,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,WARNER BROS DISCOVERY INC,COM SER A,934423104,,,,3713930,3713930,SH,,SOLE,,,"(to the nearest dollar): 32,423; ",3713930,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,WESCO INTL INC,COM,95082P105,,,,205724,205724,SH,,SOLE,,,"(to the nearest dollar): 35,236; ",205724,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,,,,1555667,1555667,SH,,SOLE,,,"(to the nearest dollar): 427,808; ",1555667,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,ALPHABET INC,CAP STK CL C,02079K107,,,,2949538,2949538,SH,,SOLE,,,"(to the nearest dollar): 415,678; ",2949538,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,ALTICE USA INC,CL A,02156K103,,,,4774615,4774615,SH,,SOLE,,,"(to the nearest dollar): 15,517; ",4774615,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,CLARIVATE PLC,ORD SHS,G21810109,,,,25500000,25500000,SH,,SOLE,,,"(to the nearest dollar): 236,130; ",25500000,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,CRH PLC,ORD,G25508105,,,,3345543,3345543,SH,,SOLE,,,"(to the nearest dollar): 231,378; ",3345543,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,FIDELITY NATL INFORMATION SV,COM,31620M106,,,,6360719,6360719,SH,,SOLE,,,"(to the nearest dollar): 382,088; ",6360719,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,FINCH THERAPEUTICS GROUP INC,COM NEW,31773D200,,,,67296,67296,SH,,SOLE,,,(to the nearest dollar): 243; ,67296,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,GARRETT MOTION INC,COM,366505105,,,,2994289,2994289,SH,,SOLE,,,"(to the nearest dollar): 28,955; ",2994289,0,0
